ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10(pValue),Significance,label
ENSG00000000003,51.17585926884506,0.05814651589428302,0.10953036913381832,0.5308711762236712,0.5955080529364587,0.6848166029973519,TSPAN6,0.22511236126395756,0.22511236126395756,Not significant
ENSG00000000419,310.30881728400243,-0.46481304703833265,0.13326001723877184,-3.488015810514963,0.0004866193029860241,0.0018933382670118883,DPM1,3.3128106676739173,3.3128106676739173,Not significant
ENSG00000000460,228.2527659944014,-0.6457588128890129,0.07433881035880913,-8.686698237060108,3.731255523922973e-18,3.0406442999988926e-16,C1orf112,17.428145008576475,17.428145008576475,Not significant
ENSG00000000938,6938.19063432008,0.8214222026079657,0.12231245318204803,6.71576917344118,1.8707673761648062e-11,3.638927033512462e-10,FGR,10.727980212248214,10.727980212248214,Not significant
ENSG00000000971,15.243919561368374,-0.4075474483337048,0.20892781493261367,-1.9506615165872132,0.051097324107855675,0.09999398920501734,CFH,1.2916018426367415,1.2916018426367415,Not significant
ENSG00000001036,226.63121873946835,-0.3447705579765709,0.09399829157485946,-3.667838555363514,0.00024460954764236236,0.0010240176093847964,FUCA2,3.611526595511226,3.611526595511226,Not significant
ENSG00000001084,344.00266632701863,-0.2942796466160679,0.07637358546327551,-3.853160026873078,0.00011660312708752323,0.0005315580837152666,GCLC,3.9332898024188143,3.9332898024188143,Not significant
ENSG00000001167,897.4819619348693,0.07802195081604199,0.06095995156761933,1.2798886614845284,0.20058429588282323,0.29879837648038937,NFYA,0.6977030717064759,0.6977030717064759,Not significant
ENSG00000001460,104.33438317937818,-0.04288707517209624,0.10830550780821616,-0.39598240237273313,0.6921180102798425,0.7671178138536252,STPG1,0.15981984941061908,0.15981984941061908,Not significant
ENSG00000001461,750.5498150709557,-0.3165383988212139,0.09691913066432106,-3.2660053454002087,0.0010907619040624902,0.0038553839309766946,NIPAL3,2.96227003862953,2.96227003862953,Not significant
ENSG00000001497,211.09408428301595,-0.5295520675848642,0.09821219885168116,-5.3919174377165415,6.97097976888969e-08,6.367169324763389e-07,LAS1L,7.1567061776669245,7.1567061776669245,Not significant
ENSG00000001561,426.5458675024165,-0.9054601508384275,0.13979988156221934,-6.476830600428251,9.366925169969657e-11,1.5522556236302466e-09,ENPP4,10.028402949226445,10.028402949226445,Not significant
ENSG00000001629,996.7950625889268,-0.5197446781026901,0.06621608283681198,-7.849221153470961,4.186288488394765e-15,1.8033928785159446e-13,ANKIB1,14.378170846565693,14.378170846565693,Not significant
ENSG00000001630,429.2906316211151,-0.323630750839808,0.08257728984240559,-3.9191253607068037,8.887088446466907e-05,0.00041686977732361514,CYP51A1,4.051240497605852,4.051240497605852,Not significant
ENSG00000001631,704.180695636993,-0.2883671468601745,0.0540904826692925,-5.331199365020315,9.756623517163865e-08,8.654406650384542e-07,KRIT1,7.010700452986151,7.010700452986151,Not significant
ENSG00000002016,129.02005854026407,-0.2903597057993365,0.07937969170461481,-3.6578588246451478,0.00025433106094742793,0.0010611450198312084,RAD52,3.59460059706256,3.59460059706256,Not significant
ENSG00000002330,184.54879962899432,0.05705493278964668,0.11036494656573481,0.5169660708861397,0.605179843929006,0.6930786332539631,BAD,0.21811554498490912,0.21811554498490912,Not significant
ENSG00000002549,1756.1154156943728,-1.5513560627187966,0.19069815229189907,-8.13513945507011,4.1146442472764254e-16,2.175113900128871e-14,LAP3,15.385667707990882,15.385667707990882,Not significant
ENSG00000002586,776.5992039518517,-0.42562779170342485,0.1117358278189947,-3.809232902385761,0.00013939860343914237,0.0006218730858333058,CD99,3.8557415771828607,3.8557415771828607,Not significant
ENSG00000002587,69.8406688018169,0.47002621127737293,0.10719039315690035,4.38496582981434,1.1600398652369944e-05,6.580678541144529e-05,HS3ST1,4.935527085811914,4.935527085811914,Not significant
ENSG00000002726,38.0857884940022,0.43705015574089606,0.3698874648368881,1.1815760124058952,0.23737397617020606,0.340404382848338,AOC1,0.6245668954285493,0.6245668954285493,Not significant
ENSG00000002746,31.941995140729542,0.263811154299573,0.13238580408011882,1.9927450388858658,0.0462893728341924,0.09217984672730471,HECW1,1.3345187033497157,1.3345187033497157,Not significant
ENSG00000002822,278.9206374032539,-0.4669200732092385,0.11243402704305522,-4.152835982922121,3.2838010808977736e-05,0.00016957307672658384,MAD1L1,4.483623158521217,4.483623158521217,Not significant
ENSG00000002834,2324.399588954644,0.337889601105747,0.07656437393793837,4.4131439170342315,1.0188022213205e-05,5.86169117271222e-05,LASP1,4.991910116804041,4.991910116804041,Not significant
ENSG00000002919,567.4353836988145,0.3955307228701366,0.07759539491443476,5.097347894244141,3.4444497642709437e-07,2.7086737669833145e-06,SNX11,6.462880144852614,6.462880144852614,Not significant
ENSG00000002933,112.30481771900786,0.0969763682568279,0.2589064363282564,0.37456144247366535,0.707986653165772,0.7803217457574714,TMEM176A,0.14997492947279117,0.14997492947279117,Not significant
ENSG00000003056,2350.3028643969956,-0.5998512423722686,0.08692201093723477,-6.901028127448791,5.162750824331375e-12,1.1217281038869621e-10,M6PR,11.287118835291599,11.287118835291599,Not significant
ENSG00000003096,11.550134347550419,0.8401669569910786,0.15003965583266735,5.5996326593022845,2.1480649829771997e-08,2.1723725642162664e-07,KLHL13,7.667952584554637,7.667952584554637,Not significant
ENSG00000003147,62.145916346960476,-0.35286358285034125,0.09488008339462894,-3.7190479837870427,0.00019997506435969598,0.0008587195755461753,ICA1,3.699024154766712,3.699024154766712,Not significant
ENSG00000003249,10.308891619191948,0.7744123054285174,0.21090641340941504,3.671829096658219,0.00024082071133851182,0.0010097241644924228,DBNDD1,3.618306165116763,3.618306165116763,Not significant
ENSG00000003393,327.5526128193507,0.07032553246176208,0.06972317769016402,1.0086392329144092,0.3131476845540321,0.4217711873434353,ALS2,0.5042507951685642,0.5042507951685642,Not significant
ENSG00000003400,1557.3931646887875,-0.08182104638587417,0.09743996715360036,-0.8397072451481314,0.40107255072450065,0.5089628603216069,CASP10,0.3967770599749958,0.3967770599749958,Not significant
ENSG00000003402,22610.58413558888,0.7232070495704339,0.10397935642211,6.955294535912827,3.5182619960155973e-12,7.96520728447142e-11,CFLAR,11.453671822869698,11.453671822869698,Not significant
ENSG00000003436,598.7696569220417,-0.15640667787589105,0.0639334368892842,-2.446398715381844,0.014429133261322204,0.03488873836100866,TFPI,1.8407597556099229,1.8407597556099229,Not significant
ENSG00000003756,4334.512574006291,0.15730558975171557,0.049718848957542895,3.163902484670265,0.0015566894395650727,0.005260747441484699,RBM5,2.8077980207883857,2.8077980207883857,Not significant
ENSG00000003987,7.704691108996391,-1.4185790416698998,0.7062581490340425,-2.00858431666963,0.044581235925838125,0.0893613921701037,MTMR7,1.3508478957406795,1.3508478957406795,Not significant
ENSG00000004059,408.8272373135898,0.1563279298538972,0.07781439960826315,2.0089845920663847,0.044538767793061505,0.08928728563893455,ARF5,1.3512618023014522,1.3512618023014522,Not significant
ENSG00000004139,122.20568172625362,-0.32533654651087407,0.10968468453630853,-2.966107327438035,0.003015952197833429,0.009280205963886921,SARM1,2.520575546217942,2.520575546217942,Not significant
ENSG00000004142,452.65218324773633,-0.34691958780864585,0.06641042575161843,-5.223872364651892,1.7521957926574887e-07,1.4708624360159592e-06,POLDIP2,6.756417366821025,6.756417366821025,Not significant
ENSG00000004399,132.7534224811929,0.18261479322645105,0.19428203721053275,0.9399468723326256,0.34724481280095887,0.4562612372567875,PLXND1,0.4593642331029347,0.4593642331029347,Not significant
